epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,395.473,0.63701,2.25149,1.23617,0.74549,0.54187,0.5449,0.42823,0.75092,2.70477,1.40016,0.000413411,0.000413411,0.000413411
2,747.963,0.66145,1.46691,1.23503,0.26673,0.5811,0.48868,0.36359,0.86403,2.42935,1.5688,0.00082186,0.00082186,0.00082186
3,1110.52,0.68496,1.24265,1.24544,0.67369,0.3399,0.44003,0.28552,1.09975,2.22423,1.77864,0.00122206,0.00122206,0.00122206
4,1479.25,0.66408,1.05145,1.22108,0.67869,0.58526,0.49336,0.4094,0.66409,1.86244,1.33446,0.00121287,0.00121287,0.00121287
5,1821.57,0.63844,0.92515,1.20586,0.81271,0.45436,0.63169,0.47853,0.81927,1.23256,1.53581,0.0012005,0.0012005,0.0012005
6,2162.69,0.63833,0.87,1.20488,0.76531,0.44713,0.67879,0.46497,0.99251,1.47219,1.57495,0.00118812,0.00118812,0.00118812
7,2498.79,0.60236,0.8147,1.17839,0.8325,0.38488,0.55627,0.4713,0.6754,1.65658,1.33818,0.00117575,0.00117575,0.00117575
8,2836.38,0.58555,0.75057,1.15851,0.60937,0.80751,0.7547,0.6494,0.621,0.76074,1.27393,0.00116337,0.00116337,0.00116337
9,3171.8,0.56198,0.67764,1.14985,0.61118,0.80473,0.79763,0.70382,0.59671,0.72269,1.2365,0.001151,0.001151,0.001151
10,3508.26,0.56805,0.68047,1.14688,0.9159,0.61132,0.82665,0.72845,0.59839,0.64246,1.24044,0.00113863,0.00113863,0.00113863
11,3848.48,0.55116,0.63556,1.13596,0.76157,0.63077,0.64491,0.54001,0.75827,0.91981,1.39492,0.00112625,0.00112625,0.00112625
12,4193.08,0.55334,0.64419,1.13966,0.79392,0.61747,0.62568,0.5589,0.56726,0.95885,1.20043,0.00111388,0.00111388,0.00111388
13,4540.79,0.53117,0.62009,1.1213,0.71918,0.80812,0.84272,0.74894,0.55462,0.57849,1.19299,0.0011015,0.0011015,0.0011015
14,4877.29,0.53715,0.57319,1.12726,0.8623,0.88763,0.91903,0.82014,0.59196,0.55984,1.19586,0.00108913,0.00108913,0.00108913
15,5199.93,0.52629,0.57197,1.11587,0.90131,0.92932,0.94357,0.84353,0.54629,0.4772,1.16776,0.00107675,0.00107675,0.00107675
